,date,location,location_name,value
312,2020-05-14,GM06,Lower Saxony State,1636.0
313,2020-05-14,GM07,North Rhine-Westphalia State,4620.0
314,2020-05-14,GM08,Rhineland-Palatinate State,801.0
315,2020-05-14,GM09,Saarland State,377.0
316,2020-05-14,GM10,Schleswig-Holstein State,579.0
317,2020-05-14,GM11,Brandenburg State,584.0
318,2020-05-14,GM12,Mecklenburg-Western Pomerania State,584.0
319,2020-05-14,GM13,Free State of Saxony,1109.0
320,2020-05-14,GM14,Sachsen-Anhalt State,664.0
321,2020-05-14,GM15,Free State of Thüringia,632.0
322,2020-05-14,GM16,Berlin State,1100.0
323,2020-05-15,GM,Germany,20388.0
324,2020-05-15,GM01,Baden-Württemberg State,2261.0
325,2020-05-15,GM02,Free State of Bavaria,2936.0
326,2020-05-15,GM03,Free Hanseatic City of Bremen,121.0
327,2020-05-15,GM04,Free Hanseatic City of Hamburg,597.0
328,2020-05-15,GM05,Hesse State,1736.0
329,2020-05-15,GM06,Lower Saxony State,1612.0
330,2020-05-15,GM07,North Rhine-Westphalia State,4600.0
331,2020-05-15,GM08,Rhineland-Palatinate State,787.0
332,2020-05-15,GM09,Saarland State,368.0
333,2020-05-15,GM10,Schleswig-Holstein State,597.0
334,2020-05-15,GM11,Brandenburg State,614.0
335,2020-05-15,GM12,Mecklenburg-Western Pomerania State,576.0
336,2020-05-15,GM13,Free State of Saxony,1157.0
337,2020-05-15,GM14,Sachsen-Anhalt State,689.0
338,2020-05-15,GM15,Free State of Thüringia,624.0
339,2020-05-15,GM16,Berlin State,1113.0
340,2020-05-16,GM,Germany,20498.0
341,2020-05-16,GM01,Baden-Württemberg State,2258.0
342,2020-05-16,GM02,Free State of Bavaria,2941.0
343,2020-05-16,GM03,Free Hanseatic City of Bremen,124.0
344,2020-05-16,GM04,Free Hanseatic City of Hamburg,613.0
345,2020-05-16,GM05,Hesse State,1724.0
346,2020-05-16,GM06,Lower Saxony State,1631.0
347,2020-05-16,GM07,North Rhine-Westphalia State,4628.0
348,2020-05-16,GM08,Rhineland-Palatinate State,826.0
349,2020-05-16,GM09,Saarland State,378.0
350,2020-05-16,GM10,Schleswig-Holstein State,591.0
351,2020-05-16,GM11,Brandenburg State,617.0
352,2020-05-16,GM12,Mecklenburg-Western Pomerania State,577.0
353,2020-05-16,GM13,Free State of Saxony,1149.0
354,2020-05-16,GM14,Sachsen-Anhalt State,703.0
355,2020-05-16,GM15,Free State of Thüringia,644.0
356,2020-05-16,GM16,Berlin State,1094.0
357,2020-05-17,GM,Germany,19944.0
358,2020-05-17,GM01,Baden-Württemberg State,2147.0
359,2020-05-17,GM02,Free State of Bavaria,2839.0
360,2020-05-17,GM03,Free Hanseatic City of Bremen,116.0
361,2020-05-17,GM04,Free Hanseatic City of Hamburg,602.0
362,2020-05-17,GM05,Hesse State,1697.0
363,2020-05-17,GM06,Lower Saxony State,1644.0
364,2020-05-17,GM07,North Rhine-Westphalia State,4542.0
365,2020-05-17,GM08,Rhineland-Palatinate State,801.0
366,2020-05-17,GM09,Saarland State,381.0
367,2020-05-17,GM10,Schleswig-Holstein State,579.0
368,2020-05-17,GM11,Brandenburg State,595.0
369,2020-05-17,GM12,Mecklenburg-Western Pomerania State,550.0
370,2020-05-17,GM13,Free State of Saxony,1096.0
371,2020-05-17,GM14,Sachsen-Anhalt State,685.0
372,2020-05-17,GM15,Free State of Thüringia,619.0
373,2020-05-17,GM16,Berlin State,1051.0
374,2020-05-18,GM,Germany,19450.0
375,2020-05-18,GM01,Baden-Württemberg State,2130.0
376,2020-05-18,GM02,Free State of Bavaria,2805.0
377,2020-05-18,GM03,Free Hanseatic City of Bremen,116.0
378,2020-05-18,GM04,Free Hanseatic City of Hamburg,565.0
379,2020-05-18,GM05,Hesse State,1650.0
380,2020-05-18,GM06,Lower Saxony State,1558.0
381,2020-05-18,GM07,North Rhine-Westphalia State,4440.0
382,2020-05-18,GM08,Rhineland-Palatinate State,809.0
383,2020-05-18,GM09,Saarland State,360.0
384,2020-05-18,GM10,Schleswig-Holstein State,550.0
385,2020-05-18,GM11,Brandenburg State,568.0
386,2020-05-18,GM12,Mecklenburg-Western Pomerania State,552.0
387,2020-05-18,GM13,Free State of Saxony,1037.0
388,2020-05-18,GM14,Sachsen-Anhalt State,660.0
389,2020-05-18,GM15,Free State of Thüringia,609.0
390,2020-05-18,GM16,Berlin State,1041.0
391,2020-05-19,GM,Germany,19972.0
392,2020-05-19,GM01,Baden-Württemberg State,2168.0
393,2020-05-19,GM02,Free State of Bavaria,2918.0
394,2020-05-19,GM03,Free Hanseatic City of Bremen,169.0
395,2020-05-19,GM04,Free Hanseatic City of Hamburg,578.0
396,2020-05-19,GM05,Hesse State,1671.0
397,2020-05-19,GM06,Lower Saxony State,1586.0
398,2020-05-19,GM07,North Rhine-Westphalia State,4518.0
399,2020-05-19,GM08,Rhineland-Palatinate State,822.0
400,2020-05-19,GM09,Saarland State,365.0
401,2020-05-19,GM10,Schleswig-Holstein State,580.0
402,2020-05-19,GM11,Brandenburg State,594.0
403,2020-05-19,GM12,Mecklenburg-Western Pomerania State,562.0
404,2020-05-19,GM13,Free State of Saxony,1110.0
405,2020-05-19,GM14,Sachsen-Anhalt State,668.0
406,2020-05-19,GM15,Free State of Thüringia,622.0
407,2020-05-19,GM16,Berlin State,1041.0
408,2020-05-20,GM,Germany,20372.0
409,2020-05-20,GM01,Baden-Württemberg State,2255.0
410,2020-05-20,GM02,Free State of Bavaria,2944.0
411,2020-05-20,GM03,Free Hanseatic City of Bremen,162.0
412,2020-05-20,GM04,Free Hanseatic City of Hamburg,568.0
413,2020-05-20,GM05,Hesse State,1713.0
414,2020-05-20,GM06,Lower Saxony State,1584.0
415,2020-05-20,GM07,North Rhine-Westphalia State,4668.0
416,2020-05-20,GM08,Rhineland-Palatinate State,823.0
417,2020-05-20,GM09,Saarland State,376.0
418,2020-05-20,GM10,Schleswig-Holstein State,580.0
419,2020-05-20,GM11,Brandenburg State,611.0
420,2020-05-20,GM12,Mecklenburg-Western Pomerania State,577.0
421,2020-05-20,GM13,Free State of Saxony,1121.0
422,2020-05-20,GM14,Sachsen-Anhalt State,683.0
423,2020-05-20,GM15,Free State of Thüringia,614.0
424,2020-05-20,GM16,Berlin State,1093.0
425,2020-05-21,GM,Germany,20611.0
426,2020-05-21,GM01,Baden-Württemberg State,2235.0
427,2020-05-21,GM02,Free State of Bavaria,3091.0
428,2020-05-21,GM03,Free Hanseatic City of Bremen,163.0
429,2020-05-21,GM04,Free Hanseatic City of Hamburg,612.0
430,2020-05-21,GM05,Hesse State,1710.0
431,2020-05-21,GM06,Lower Saxony State,1572.0
432,2020-05-21,GM07,North Rhine-Westphalia State,4663.0
433,2020-05-21,GM08,Rhineland-Palatinate State,879.0
434,2020-05-21,GM09,Saarland State,392.0
435,2020-05-21,GM10,Schleswig-Holstein State,593.0
436,2020-05-21,GM11,Brandenburg State,620.0
437,2020-05-21,GM12,Mecklenburg-Western Pomerania State,552.0
438,2020-05-21,GM13,Free State of Saxony,1111.0
439,2020-05-21,GM14,Sachsen-Anhalt State,692.0
440,2020-05-21,GM15,Free State of Thüringia,613.0
441,2020-05-21,GM16,Berlin State,1113.0
442,2020-05-22,GM,Germany,20061.0
443,2020-05-22,GM01,Baden-Württemberg State,2175.0
444,2020-05-22,GM02,Free State of Bavaria,2798.0
445,2020-05-22,GM03,Free Hanseatic City of Bremen,157.0
446,2020-05-22,GM04,Free Hanseatic City of Hamburg,600.0
447,2020-05-22,GM05,Hesse State,1724.0
448,2020-05-22,GM06,Lower Saxony State,1546.0
449,2020-05-22,GM07,North Rhine-Westphalia State,4634.0
450,2020-05-22,GM08,Rhineland-Palatinate State,854.0
451,2020-05-22,GM09,Saarland State,387.0
452,2020-05-22,GM10,Schleswig-Holstein State,593.0
453,2020-05-22,GM11,Brandenburg State,585.0
454,2020-05-22,GM12,Mecklenburg-Western Pomerania State,562.0
455,2020-05-22,GM13,Free State of Saxony,1103.0
456,2020-05-22,GM14,Sachsen-Anhalt State,681.0
457,2020-05-22,GM15,Free State of Thüringia,579.0
458,2020-05-22,GM16,Berlin State,1083.0
459,2020-05-23,GM,Germany,20006.0
460,2020-05-23,GM01,Baden-Württemberg State,2154.0
461,2020-05-23,GM02,Free State of Bavaria,2981.0
