"location_name","location_id","all_bed_capacity","icu_bed_capacity","all_bed_usage","icu_bed_usage","available_all_nbr","available_icu_nbr","travel_limit_start_date","travel_limit_end_date","stay_home_start_date","stay_home_end_date","educational_fac_start_date","educational_fac_end_date","any_gathering_restrict_start_date","any_gathering_restrict_end_date","any_business_start_date","any_business_end_date","all_non-ess_business_start_date","all_non-ess_business_end_date"
"Jalisco",4656,9406,348,6535,292,2871,56,,,2020-04-19,,2020-03-16,,2020-03-24,,2020-03-23,,2020-03-30,2020-06-15
"Jamaica",115,4523,108,2885,68,1638,40,,,,,2020-03-13,,2020-03-18,,2020-03-18,,,
"Jammu & Kashmir and Ladakh",4854,,,,,,,2020-03-22,,2020-03-22,2020-06-09,2020-03-11,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-17
"Japan",67,1515395,6763,1174563,4972,340832,1791,,,,,2020-03-02,2020-06-02,,,,,,
"Jharkhand",4855,,,,,,,2020-03-23,2020-05-19,2020-03-23,2020-06-01,2020-03-17,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
"Jordan",144,17356,819,11568,535,5788,284,2020-03-18,2020-04-29,2020-03-21,2020-04-27,2020-03-15,,2020-03-14,,2020-03-14,2020-06-06,2020-03-18,2020-04-27
"Kansas",539,11329,678,6518,399,4811,279,,,2020-03-30,2020-05-04,2020-03-17,,2020-03-17,2020-05-22,2020-03-30,2020-06-08,,
"Karnataka",4856,,,,,,,2020-03-24,2020-05-04,2020-03-24,2020-06-01,2020-03-13,,2020-03-24,,2020-03-13,,2020-03-13,2020-05-04
"Kazakhstan",36,124723,4148,110129,3224,14594,924,2020-03-16,2020-06-01,2020-03-28,2020-05-22,2020-03-16,,2020-03-28,,2020-03-16,,2020-03-16,2020-05-11
"Kentucky",540,16156,1215,9946,766,6210,449,,,,,2020-03-20,,2020-03-19,,2020-03-16,2020-06-29,2020-03-26,2020-05-11
"Kenya",180,60413,551,27457,221,32956,330,,,,,2020-03-20,2021-01-04,2020-03-22,,2020-03-22,,,
"Kerala",4857,,,,,,,2020-03-23,2020-05-19,2020-03-23,2020-06-01,2020-03-18,2021-01-01,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
"Khyber Pakhtunkhwa",53619,23948,643,19402,509,4546,134,,,2020-03-22,2020-05-09,2020-03-13,2020-09-30,2020-03-22,,2020-03-22,,2020-03-22,2020-04-15
"Kuwait",145,10723,409,6953,259,3770,150,2020-05-10,,2020-05-10,,2020-03-01,,2020-03-18,,2020-03-14,,2020-05-10,
"Kyrgyzstan",37,32558,658,29268,520,3290,138,,,,,2020-03-16,,2020-03-17,,2020-03-22,,2020-03-22,2020-05-01
"La Rioja",60376,,,,,,,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
"Latvia",59,11656,229,8297,138,3359,91,,,,,2020-03-12,2020-09-01,2020-03-13,,2020-12-19,,,
"Lazio",35506,19268,571,14953,405,4315,166,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Lebanon",146,15959,561,9807,333,6152,228,,,2020-03-15,2020-05-04,2020-03-03,,2020-03-15,,2020-03-15,,2020-03-15,2020-05-04
"Liberia",210,3397,20,1942,10,1455,10,,,,,2020-03-16,,2020-03-21,,2020-03-21,,2020-04-14,2020-05-22
"Libya",147,23956,549,14860,330,9096,219,,,,,2020-03-16,,2020-03-22,,2020-03-22,,,
"Liguria",35496,5239,180,4065,127,1174,53,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Lithuania",60,18568,351,13580,219,4988,132,,,2020-03-15,2020-04-29,2020-03-16,2020-06-01,2020-03-15,2020-09-01,2020-03-14,2020-06-16,2020-03-15,2020-04-15
"Lombardia",35497,33545,861,25993,610,7552,251,2020-03-08,2020-05-04,2020-03-08,2020-06-03,2020-03-01,2020-09-14,2020-02-22,,2020-02-22,2020-06-15,2020-03-08,2020-04-14
"Louisiana",541,18060,1242,10855,765,7205,477,,,2020-03-23,2020-05-15,2020-03-16,,2020-03-13,2020-05-15,2020-03-17,,2020-03-22,2020-05-01
"Lower Saxony",60384,,,,,,,,,2020-03-23,2020-05-11,2020-03-16,2020-10-26,2020-03-23,,2020-03-27,,2020-03-27,2020-04-20
"Luxembourg",87,2975,55,2107,35,868,20,,,,,2020-03-16,2020-05-25,2020-03-13,,2020-03-18,2020-07-16,2020-03-18,2020-04-20
"Madagascar",181,9700,62,4723,27,4977,35,2020-03-21,,,,2020-03-20,,2020-03-20,,2020-03-20,,,
"Madhya Pradesh",4859,,,,,,,2020-03-23,2020-06-01,2020-03-23,2020-06-01,2020-03-14,,2020-03-23,,2020-03-23,,2020-03-23,2020-05-19
"Maharashtra",4860,,,,,,,2020-03-23,2020-06-05,2020-03-23,2020-06-03,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-24
"Maine",542,3814,244,2752,180,1062,64,,,2020-04-02,2020-05-31,2020-03-16,,2020-03-18,,2020-03-18,,2020-03-25,2020-05-01
"Malawi",182,19486,78,8985,32,10501,46,,,,,2020-03-23,,2020-03-23,,2021-01-08,,,
"Malaysia",13,60104,1088,40229,795,19875,293,2020-03-18,2020-06-10,2020-03-18,2020-06-10,2020-03-18,,2020-03-13,,2020-03-18,,2020-03-18,2020-06-10
"Maldives",14,975,18,625,12,350,6,,,2020-04-15,,2020-03-14,,2020-03-16,,2020-03-15,,,
"Mali",211,6331,55,3771,31,2560,24,,,,,2020-03-19,2020-09-14,2020-03-19,,2020-03-19,,,
"Malta",88,2129,39,1746,29,383,10,,,,,2020-03-13,,2020-03-03,,2020-03-17,2020-07-01,2020-03-23,2020-05-22
"Manipur",4861,,,,,,,2020-03-23,2020-05-04,2020-03-23,2020-06-01,2020-03-13,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-21
"Manitoba",43860,,,,,,,,,,,2020-03-23,2020-09-08,2020-03-20,,2020-03-20,,2020-04-01,2020-05-04
