"target","location","model","inverse_wis_weight"
"cum death","GM14","ITWW-county_repro",0.144747910507203
"cum death","GM14","epiforecasts-EpiNow2",0.161609234818265
"cum death","GM14","KIT-time_series_baseline",0.1630090761513
"cum death","GM14","Karlen-pypm",0.406058138283267
"cum death","GM15","USC-SIkJalpha",0.320105379728372
"cum death","GM15","ITWW-county_repro",0.270362099342231
"cum death","GM15","epiforecasts-EpiNow2",0.073529880544796
"cum death","GM15","KIT-time_series_baseline",0.0737194477727853
"cum death","GM15","Karlen-pypm",0.262283192611815
"cum death","GM16","USC-SIkJalpha",0.192830476200083
"cum death","GM16","ITWW-county_repro",0.31047621661151
"cum death","GM16","epiforecasts-EpiNow2",0.137211150261313
"cum death","GM16","KIT-time_series_baseline",0.0455796383900018
"cum death","GM16","Karlen-pypm",0.313902518537092
"cum death","GM","FIAS_FZJ-Epi1Ger",0.204219479689628
"cum death","GM","LANL-GrowthRate",0.177303635182516
"cum death","GM","MIT_CovidAnalytics-DELPHI",0.0632401055029313
"cum death","GM","USC-SIkJalpha",0.140829165537851
"cum death","GM","epiforecasts-EpiExpert",0.129114561646412
"cum death","GM","epiforecasts-EpiNow2",0.0650036554663274
"cum death","GM","Karlen-pypm",0.177904891121884
"cum death","GM","itwm-dSEIR",0.0423845058524502
"inc case","PL72","USC-SIkJalpha",0.450272065887039
"inc case","PL72","ITWW-county_repro",0.175983677278421
"inc case","PL72","epiforecasts-EpiNow2",0.12108469654704
"inc case","PL72","KIT-time_series_baseline",0.2526595602875
"inc case","PL73","USC-SIkJalpha",0.226545876649689
"inc case","PL73","ITWW-county_repro",0.157246162429885
"inc case","PL73","epiforecasts-EpiNow2",0.274649051560445
"inc case","PL73","KIT-time_series_baseline",0.341558909359981
"inc case","PL74","USC-SIkJalpha",0.198014168690481
"inc case","PL74","ITWW-county_repro",0.135043829008268
"inc case","PL74","epiforecasts-EpiNow2",0.222969810154951
"inc case","PL74","KIT-time_series_baseline",0.4439721921463
"inc case","PL75","USC-SIkJalpha",0.28353384728423
"inc case","PL75","ITWW-county_repro",0.0669375997739418
"inc case","PL75","epiforecasts-EpiNow2",0.356015218873989
"inc case","PL75","KIT-time_series_baseline",0.293513334067839
"inc case","PL76","USC-SIkJalpha",0.265390005664614
"inc case","PL76","ITWW-county_repro",0.109812977125617
"inc case","PL76","epiforecasts-EpiNow2",0.161542216225418
"inc case","PL76","KIT-time_series_baseline",0.463254800984352
"inc case","PL77","USC-SIkJalpha",0.388696715282948
"inc case","PL77","ITWW-county_repro",0.112532076634003
"inc case","PL77","epiforecasts-EpiNow2",0.138113476797355
"inc case","PL77","KIT-time_series_baseline",0.360657731285695
"inc case","PL78","USC-SIkJalpha",0.167488796197278
"inc case","PL78","ITWW-county_repro",0.0959297209218637
"inc case","PL78","epiforecasts-EpiNow2",0.156276601756895
"inc case","PL78","KIT-time_series_baseline",0.580304881123963
"inc case","PL79","USC-SIkJalpha",0.324094937832227
"inc case","PL79","ITWW-county_repro",0.107141122646969
"inc case","PL79","epiforecasts-EpiNow2",0.185681469636639
"inc case","PL79","KIT-time_series_baseline",0.383082469884165
"inc case","PL80","USC-SIkJalpha",0.295072397174322
"inc case","PL80","ITWW-county_repro",0.0663883610824543
"inc case","PL80","epiforecasts-EpiNow2",0.0964570736447668
"inc case","PL80","KIT-time_series_baseline",0.542082168098457
"inc case","PL81","USC-SIkJalpha",0.309155599676321
"inc case","PL81","ITWW-county_repro",0.10224232693785
"inc case","PL81","epiforecasts-EpiNow2",0.334003013492163
"inc case","PL81","KIT-time_series_baseline",0.254599059893666
"inc case","PL82","USC-SIkJalpha",0.192715364264704
"inc case","PL82","ITWW-county_repro",0.164320493107891
"inc case","PL82","epiforecasts-EpiNow2",0.220538667800781
"inc case","PL82","KIT-time_series_baseline",0.422425474826624
"inc case","PL83","USC-SIkJalpha",0.244646548205784
"inc case","PL83","ITWW-county_repro",0.201424556898695
"inc case","PL83","epiforecasts-EpiNow2",0.296799918700972
"inc case","PL83","KIT-time_series_baseline",0.257128976194548
"inc case","PL84","USC-SIkJalpha",0.318356462984593
"inc case","PL84","ITWW-county_repro",0.343632196026363
"inc case","PL84","epiforecasts-EpiNow2",0.060724547163343
"inc case","PL84","KIT-time_series_baseline",0.277286793825701
"inc case","PL85","USC-SIkJalpha",0.189071347484061
"inc case","PL85","ITWW-county_repro",0.217873662187484
"inc case","PL85","epiforecasts-EpiNow2",0.346071789416638
"inc case","PL85","KIT-time_series_baseline",0.246983200911817
"inc case","PL86","USC-SIkJalpha",0.200047965140341
"inc case","PL86","ITWW-county_repro",0.139343045971655
"inc case","PL86","epiforecasts-EpiNow2",0.159816663015016
"inc case","PL86","KIT-time_series_baseline",0.500792325872988
"inc case","PL87","USC-SIkJalpha",0.271456391196182
"inc case","PL87","ITWW-county_repro",0.281101281911093
"inc case","PL87","epiforecasts-EpiNow2",0.231062269460792
"inc case","PL87","KIT-time_series_baseline",0.216380057431933
"inc case","PL","LANL-GrowthRate",0.148179047856856
"inc case","PL","MIT_CovidAnalytics-DELPHI",0.087572962037191
"inc case","PL","USC-SIkJalpha",0.0991758611190639
"inc case","PL","MOCOS-agent1",0.0877236752702163
"inc case","PL","ICM-agentModel",0.203481596337987
"inc case","PL","epiforecasts-EpiExpert",0.0847593317288822
"inc case","PL","epiforecasts-EpiNow2",0.0769905881908686
"inc case","PL","KIT-time_series_baseline",0.212116937458935
"cum case","PL72","USC-SIkJalpha",0.374512374354855
"cum case","PL72","ITWW-county_repro",0.180668790777006
"cum case","PL72","epiforecasts-EpiNow2",0.143793145109969
"cum case","PL72","KIT-time_series_baseline",0.30102568975817
"cum case","PL73","USC-SIkJalpha",0.175893645694083
"cum case","PL73","ITWW-county_repro",0.154897656412636
"cum case","PL73","epiforecasts-EpiNow2",0.298010133942987
