target,target_end_date,location,type,target_type,quantile,value,location_name,forecast_date
2 wk ahead cum case,2021-02-20,GM,quantile,,0.6,2395034.43832632,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.65,2396852.90533387,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.7,2398800.7278207,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.75,2400939.56621825,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.8,2403367.12608293,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.85,2406259.06338987,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.9,2409995.55255361,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.95,2415740.9041822,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.975,2420932.59667656,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.99,2427223.51170102,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.01,2395706.56795434,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.025,2401614.21196254,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.05,2406948.26287672,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.1,2413404.67842187,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.15,2417955.35992473,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.2,2421688.64763019,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.25,2424976.3706283,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.3,2427997.46670831,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.35,2430856.31872065,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.4,2433623.05638214,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.45,2436350.97768342,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.5,2439085.68571429,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.55,2441871.02533854,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.6,2444754.13900659,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.65,2447791.25128094,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.7,2451056.15148329,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.75,2454655.109262,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.8,2458757.33901316,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.85,2463668.27648835,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.9,2470051.53475967,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.95,2479949.24221626,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.975,2488977.6828274,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,quantile,,0.99,2500023.04263819,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.01,2419836.41314376,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.025,2427961.85185105,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.05,2435368.65844078,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.1,2444421.74242663,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.15,2450859.54241431,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.2,2456175.6654888,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.25,2460882.94305632,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.3,2465229.45430338,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.35,2469360.90806065,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.4,2473376.12913027,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.45,2477351.17040879,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.5,2481352.09428571,Germany,2021-02-08
