target,target_end_date,location,type,quantile,value,location_name,forecast_date
4 wk ahead cum case,2021-01-23,GM,quantile,0.15,2140705.58442775,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.2,2159073.63860932,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.25,2175374.76426997,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.3,2190455.4457904,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.35,2204814.32975207,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.4,2218790.89829724,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.45,2232647.65162651,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.5,2246613.85714286,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.55,2260914.77753431,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.6,2275797.55836957,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.65,2291561.96168087,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.7,2308606.52856761,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.75,2327510.78173662,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.8,2349204.25335069,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.85,2375374.89893259,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.9,2409711.58602667,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.95,2463649.17227864,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.975,2513565.46025191,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.99,2575530.51343208,Germany,2020-12-28
1 wk ahead cum case,2021-01-02,GM,point,,1775160.14285714,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,point,,1931303.57142857,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,point,,2088105.71428571,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,point,,2246613.85714286,Germany,2020-12-28
