gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,bundesland
08425,2,5,1,2,19.0,11.0,08
08426,1,4,4,1,13.0,14.0,08
08435,3,8,1,3,36.0,36.0,08
08436,5,10,6,4,23.0,47.0,08
08437,1,4,4,1,14.0,11.0,08
09161,2,3,3,1,17.0,39.0,09
09162,25,160,116,23,263.0,580.0,09
09163,1,9,6,1,39.0,24.0,09
09171,3,0,0,2,6.0,28.0,09
09172,2,6,6,2,7.0,14.0,09
09173,2,6,4,2,9.0,19.0,09
09174,1,11,7,1,46.0,22.0,09
09176,3,4,3,3,14.0,46.0,09
09177,1,6,5,1,10.0,18.0,09
09178,1,10,6,1,11.0,14.0,09
09179,1,2,1,1,5.0,10.0,09
09180,2,4,1,2,67.0,60.0,09
09181,1,1,1,1,5.0,5.0,09
09182,1,3,3,1,13.0,17.0,09
09183,1,10,9,1,7.0,13.0,09
09184,2,0,0,2,11.0,6.0,09
09185,3,3,2,2,19.0,9.0,09
09186,1,0,0,1,3.0,10.0,09
09187,5,31,23,5,26.0,52.0,09
09188,5,9,6,5,41.0,55.0,09
09189,2,9,5,2,10.0,36.0,09
09190,3,1,1,3,21.0,23.0,09
09261,3,10,3,3,30.0,46.0,09
09262,3,6,2,2,22.0,26.0,09
09263,1,2,1,1,22.0,19.0,09
09271,2,8,6,2,9.0,27.0,09
09272,2,2,2,2,12.0,11.0,09
09273,3,4,4,3,16.0,10.0,09
09274,1,3,3,1,4.0,6.0,09
09275,1,3,3,1,5.0,13.0,09
09276,2,4,3,2,11.0,10.0,09
09277,1,0,0,1,1.0,1.0,09
09278,2,11,4,2,9.0,14.0,09
09279,2,4,2,2,7.0,10.0,09
09361,1,8,4,1,16.0,18.0,09
09362,4,54,37,4,105.0,244.0,09
09363,1,15,11,1,13.0,68.0,09
09371,1,3,2,1,7.0,7.0,09
09372,1,3,2,1,6.0,11.0,09
09373,1,3,3,1,13.0,22.0,09
09375,2,3,3,2,2.0,13.0,09
09376,3,9,8,3,19.0,19.0,09
09461,4,7,5,1,35.0,25.0,09
09462,5,10,9,2,14.0,53.0,09
09464,1,2,1,1,16.0,24.0,09
09471,2,2,1,2,9.0,9.0,09
09472,1,1,1,1,6.0,4.0,09
09474,2,1,1,2,6.0,11.0,09
09475,2,5,4,2,5.0,12.0,09
09476,1,3,2,1,3.0,14.0,09
09477,1,6,4,1,3.0,35.0,09
09478,2,5,3,2,16.0,13.0,09
09479,2,3,3,2,20.0,5.0,09
09561,2,2,2,2,14.0,17.0,09
09562,2,0,0,2,7.0,19.0,09
09563,2,10,6,2,26.0,24.0,09
09564,8,23,16,6,95.0,141.0,09
09571,3,8,3,3,19.0,15.0,09
09572,1,0,0,1,0.0,5.0,09
09574,2,2,2,2,5.0,11.0,09
09575,3,3,1,2,31.0,49.0,09
09577,2,2,2,2,6.0,10.0,09
09661,2,15,11,1,16.0,48.0,09
09662,2,10,10,2,6.0,44.0,09
09663,3,16,15,3,42.0,91.0,09
09672,4,5,1,4,17.0,46.0,09
09673,1,18,10,1,37.0,126.0,09
09674,2,2,2,2,10.0,6.0,09
09675,1,3,3,1,7.0,5.0,09
09676,1,0,0,1,6.0,8.0,09
09677,1,2,1,1,1.0,7.0,09
09678,2,0,0,2,6.0,2.0,09
09679,1,2,2,1,3.0,9.0,09
09761,3,7,5,2,58.0,105.0,09
09762,1,3,3,1,16.0,15.0,09
09763,1,1,1,1,0.0,25.0,09
09764,1,0,0,1,8.0,23.0,09
09771,2,5,5,2,10.0,16.0,09
09772,2,0,0,2,6.0,7.0,09
