,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
384,16,16068,1,0,0,1,9.0,5.0,2020-04-29 09:15:00
385,16,16069,1,0,0,1,6.0,2.0,2020-04-29 09:15:00
386,16,16070,2,0,0,2,7.0,9.0,2020-04-29 09:15:00
387,16,16071,3,7,5,3,48.0,78.0,2020-04-29 09:15:00
388,16,16072,1,1,1,1,1.0,7.0,2020-04-29 09:15:00
389,16,16073,1,1,1,1,18.0,9.0,2020-04-29 09:15:00
390,16,16074,1,0,0,1,8.0,8.0,2020-04-29 09:15:00
391,16,16075,1,1,1,1,3.0,3.0,2020-04-29 09:15:00
392,16,16076,1,7,6,1,5.0,12.0,2020-04-29 09:15:00
393,16,16077,2,1,0,1,25.0,35.0,2020-04-29 09:15:00
