"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-02-06,2021-04-15,"GM","Germany",74056.0387668872,"point",NA,"68 day ahead cum death"
2021-02-06,2021-04-16,"GM","Germany",74077.0876437782,"point",NA,"69 day ahead cum death"
2021-02-06,2021-04-17,"GM","Germany",74097.1099548297,"point",NA,"70 day ahead cum death"
2021-02-06,2021-04-18,"GM","Germany",74116.1557662483,"point",NA,"71 day ahead cum death"
2021-02-06,2021-04-19,"GM","Germany",74134.2727024832,"point",NA,"72 day ahead cum death"
2021-02-06,2021-04-20,"GM","Germany",74151.5060653117,"point",NA,"73 day ahead cum death"
2021-02-06,2021-04-21,"GM","Germany",74167.8989471172,"point",NA,"74 day ahead cum death"
2021-02-06,2021-04-22,"GM","Germany",74183.492338643,"point",NA,"75 day ahead cum death"
2021-02-06,2021-04-23,"GM","Germany",74198.3252314901,"point",NA,"76 day ahead cum death"
2021-02-06,2021-04-24,"GM","Germany",74212.4347156167,"point",NA,"77 day ahead cum death"
2021-02-06,2021-04-25,"GM","Germany",74225.8560720824,"point",NA,"78 day ahead cum death"
2021-02-06,2021-04-26,"GM","Germany",74238.6228612694,"point",NA,"79 day ahead cum death"
2021-02-06,2021-04-27,"GM","Germany",74250.7670068004,"point",NA,"80 day ahead cum death"
2021-02-06,2021-04-28,"GM","Germany",74262.3188753649,"point",NA,"81 day ahead cum death"
2021-02-06,2021-04-29,"GM","Germany",74273.3073526514,"point",NA,"82 day ahead cum death"
2021-02-06,2021-04-30,"GM","Germany",74283.7599155768,"point",NA,"83 day ahead cum death"
2021-02-06,2021-05-01,"GM","Germany",74293.7027009929,"point",NA,"84 day ahead cum death"
2021-02-06,2021-05-02,"GM","Germany",74303.1605710422,"point",NA,"85 day ahead cum death"
2021-02-06,2021-05-03,"GM","Germany",74312.1571753262,"point",NA,"86 day ahead cum death"
2021-02-06,2021-05-04,"GM","Germany",74320.7150100417,"point",NA,"87 day ahead cum death"
2021-02-06,2021-05-05,"GM","Germany",74328.8554742331,"point",NA,"88 day ahead cum death"
2021-02-06,2021-05-06,"GM","Germany",74336.5989233011,"point",NA,"89 day ahead cum death"
2021-02-06,2021-05-07,"GM","Germany",74343.9647199016,"point",NA,"90 day ahead cum death"
2021-02-06,2021-05-08,"GM","Germany",74350.971282363,"point",NA,"91 day ahead cum death"
2021-02-06,2021-05-09,"GM","Germany",74357.6361307408,"point",NA,"92 day ahead cum death"
2021-02-06,2021-05-10,"GM","Germany",74363.9759306277,"point",NA,"93 day ahead cum death"
2021-02-06,2021-05-11,"GM","Germany",74370.0065348255,"point",NA,"94 day ahead cum death"
2021-02-06,2021-05-12,"GM","Germany",74375.7430229859,"point",NA,"95 day ahead cum death"
2021-02-06,2021-05-13,"GM","Germany",74381.1997393175,"point",NA,"96 day ahead cum death"
2021-02-06,2021-05-14,"GM","Germany",74386.3903284532,"point",NA,"97 day ahead cum death"
2021-02-06,2021-05-15,"GM","Germany",74391.3277695696,"point",NA,"98 day ahead cum death"
2021-02-06,2021-05-16,"GM","Germany",74396.0244088412,"point",NA,"99 day ahead cum death"
2021-02-06,2021-02-06,"GM","Germany",61551,"quantile",0.025,"0 day ahead cum death"
2021-02-06,2021-02-07,"GM","Germany",62186.1428571429,"quantile",0.025,"1 day ahead cum death"
2021-02-06,2021-02-08,"GM","Germany",62775.1009696338,"quantile",0.025,"2 day ahead cum death"
2021-02-06,2021-02-09,"GM","Germany",63321.2584427035,"quantile",0.025,"3 day ahead cum death"
2021-02-06,2021-02-10,"GM","Germany",63829.5917479517,"quantile",0.025,"4 day ahead cum death"
