"location_name" "location" "date" "value"
"428" "Malopolskie" "PL77" "11.03" 0
"429" "Malopolskie" "PL77" "12.03" 0
"430" "Malopolskie" "PL77" "13.03" 0
"431" "Malopolskie" "PL77" "14.03" 0
"432" "Malopolskie" "PL77" "15.03" 0
"433" "Malopolskie" "PL77" "16.03" 1
"434" "Malopolskie" "PL77" "17.03" 3
"435" "Malopolskie" "PL77" "18.03" 1
"436" "Malopolskie" "PL77" "19.03" 1
"437" "Malopolskie" "PL77" "20.03" 7
"438" "Malopolskie" "PL77" "21.03" 2
"439" "Malopolskie" "PL77" "22.03" 8
"440" "Malopolskie" "PL77" "23.03" 9
"441" "Malopolskie" "PL77" "24.03" 16
"442" "Malopolskie" "PL77" "25.03" 7
"443" "Malopolskie" "PL77" "26.03" 13
"444" "Malopolskie" "PL77" "27.03" 24
"445" "Malopolskie" "PL77" "28.03" 19
"446" "Malopolskie" "PL77" "29.03" 38
"447" "Malopolskie" "PL77" "30.03" 24
"448" "Malopolskie" "PL77" "31.03" 18
"449" "Malopolskie" "PL77" "01.04" 17
"450" "Malopolskie" "PL77" "02.04" 21
"451" "Malopolskie" "PL77" "03.04" 32
"452" "Malopolskie" "PL77" "04.04" 46
"453" "Malopolskie" "PL77" "05.04" 19
"454" "Malopolskie" "PL77" "06.04" 22
"455" "Malopolskie" "PL77" "07.04" 22
"456" "Malopolskie" "PL77" "08.04" 28
"457" "Malopolskie" "PL77" "09.04" 34
"458" "Malopolskie" "PL77" "10.04" 20
"459" "Malopolskie" "PL77" "11.04" 33
"460" "Malopolskie" "PL77" "12.04" 19
"461" "Malopolskie" "PL77" "13.04" 13
"462" "Malopolskie" "PL77" "14.04" 19
"463" "Malopolskie" "PL77" "15.04" 24
"464" "Malopolskie" "PL77" "16.04" 14
"465" "Malopolskie" "PL77" "17.04" 21
"466" "Malopolskie" "PL77" "18.04" 34
"467" "Malopolskie" "PL77" "19.04" 16
"468" "Malopolskie" "PL77" "20.04" 33
"469" "Malopolskie" "PL77" "21.04" 28
"470" "Malopolskie" "PL77" "22.04" 27
"471" "Malopolskie" "PL77" "23.04" 32
"472" "Malopolskie" "PL77" "24.04" 22
"473" "Malopolskie" "PL77" "25.04" 24
"474" "Malopolskie" "PL77" "26.04" 9
"475" "Malopolskie" "PL77" "27.04" 20
