"forecast_date","target","targed_end_date","location","type","quantile","value"
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.45,21.530605094045
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.5,26.0811579647099
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.55,31.5314987777835
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.6,37.9822404858807
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.65,45.7263041394411
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.7,54.9404027586743
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.75,65.8521215818334
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.8,78.7060320537238
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.85,93.7450148003993
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.9,111.202553120247
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.95,131.274556336595
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.975,142.333866114418
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.99,149.302211438458
